Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temp_Difference,Power,Tool_Wear_Percent
1,300.7,309.5,1508,39.9,59,8.800000000000011,60169.2,23.599999999999998
2,303.0,312.8,1648,32.1,104,9.800000000000011,52900.8,41.6
2,300.4,311.7,1832,24.2,179,11.300000000000011,44334.4,71.6
2,302.0,311.1,1406,48.8,159,9.100000000000023,68612.8,63.6
1,298.3,308.1,1326,58.4,90,9.800000000000011,77438.4,36.0
1,298.9,310.3,1456,44.1,118,11.400000000000034,64209.6,47.199999999999996
1,298.0,308.5,1702,26.7,203,10.5,45443.4,81.2
1,302.6,311.4,1738,25.8,128,8.799999999999955,44840.4,51.2
1,297.1,308.2,1347,50.8,49,11.099999999999966,68427.59999999999,19.6
1,303.8,312.7,1664,29.3,178,8.899999999999977,48755.200000000004,71.2
1,298.6,309.8,1637,34.6,207,11.199999999999989,56640.200000000004,82.8
1,301.6,311.1,1907,21.5,102,9.5,41000.5,40.8
2,302.3,311.2,1505,36.7,78,8.899999999999977,55233.50000000001,31.2
2,298.2,309.0,1410,47.6,76,10.800000000000011,67116.0,30.4
1,296.8,307.9,1709,28.4,118,11.099999999999966,48535.6,47.199999999999996
2,297.2,308.3,1776,28.0,43,11.100000000000023,49728.0,17.2
1,300.2,310.2,1600,31.5,23,10.0,50400.0,9.2
1,301.0,310.7,1391,45.0,123,9.699999999999989,62595.0,49.2
0,298.7,309.3,1402,45.3,190,10.600000000000023,63510.6,76.0
2,298.1,307.9,1496,40.0,0,9.799999999999955,59840.0,0.0
1,301.5,310.3,1415,41.6,28,8.800000000000011,58864.0,11.200000000000001
1,301.1,311.1,1711,29.1,170,10.0,49790.100000000006,68.0
2,296.8,307.8,1664,32.8,142,11.0,54579.2,56.8
1,298.2,308.4,1477,49.9,72,10.199999999999989,73702.3,28.799999999999997
2,297.4,309.0,1520,37.0,147,11.600000000000023,56240.0,58.8
2,298.9,308.9,1487,39.5,30,10.0,58736.5,12.0
1,299.3,309.1,1551,39.1,147,9.800000000000011,60644.100000000006,58.8
1,298.3,308.2,1663,28.4,67,9.899999999999977,47229.2,26.8
2,301.0,311.0,1423,38.6,199,10.0,54927.8,79.60000000000001
1,301.5,311.1,1434,49.6,129,9.600000000000023,71126.40000000001,51.6
2,300.5,311.6,1476,39.1,199,11.100000000000023,57711.6,79.60000000000001
1,300.6,310.0,1425,49.5,174,9.399999999999977,70537.5,69.6
2,301.3,310.8,1455,41.2,56,9.5,59946.00000000001,22.400000000000002
2,297.2,308.4,1863,26.0,110,11.199999999999989,48438.0,44.0
1,298.8,308.8,1523,44.4,55,10.0,67621.2,22.0
1,300.4,310.0,1769,26.1,38,9.600000000000023,46170.9,15.2
1,301.6,311.1,1408,44.4,106,9.5,62515.2,42.4
2,298.7,309.6,1424,50.4,32,10.900000000000034,71769.59999999999,12.8
1,301.5,310.7,1435,38.5,224,9.199999999999989,55247.5,89.60000000000001
2,298.0,308.1,1552,36.6,190,10.100000000000023,56803.200000000004,76.0
2,302.2,311.6,1592,37.7,79,9.400000000000034,60018.4,31.6
1,300.6,310.4,1494,47.3,118,9.799999999999955,70666.2,47.199999999999996
2,297.5,309.4,1433,48.3,139,11.899999999999977,69213.9,55.60000000000001
1,297.3,308.7,1491,40.2,112,11.399999999999977,59938.200000000004,44.800000000000004
1,300.1,311.5,2218,17.0,123,11.399999999999977,37706.0,49.2
0,302.0,310.9,1679,29.0,222,8.899999999999977,48691.0,88.8
1,299.2,308.4,1393,48.4,35,9.199999999999989,67421.2,14.000000000000002
2,302.1,310.7,1364,47.8,213,8.599999999999966,65199.2,85.2
2,300.0,309.2,1635,32.4,4,9.199999999999989,52974.0,1.6
1,301.4,310.8,1431,44.3,21,9.400000000000034,63393.299999999996,8.4
1,300.8,310.3,1537,33.3,52,9.5,51182.1,20.8
0,299.7,309.2,1572,32.8,142,9.5,51561.6,56.8
2,296.8,307.9,1843,25.2,116,11.099999999999966,46443.6,46.400000000000006
0,298.0,307.7,1547,36.8,186,9.699999999999989,56929.6,74.4
1,301.0,310.9,1679,29.8,64,9.899999999999977,50034.200000000004,25.6
1,295.7,306.1,1343,54.4,119,10.400000000000034,73059.2,47.599999999999994
2,299.3,310.7,1374,48.9,222,11.399999999999977,67188.59999999999,88.8
1,300.8,309.7,1373,45.4,179,8.899999999999977,62334.2,71.6
1,298.6,309.7,1627,33.4,99,11.099999999999966,54341.799999999996,39.6
1,300.4,311.5,1492,44.6,149,11.100000000000023,66543.2,59.599999999999994
1,300.4,310.5,2424,14.5,12,10.100000000000023,35148.0,4.8
1,301.3,310.5,1365,47.7,70,9.199999999999989,65110.50000000001,28.000000000000004
1,300.0,309.6,1694,28.7,94,9.600000000000023,48617.799999999996,37.6
1,301.4,310.3,2203,16.6,169,8.900000000000034,36569.8,67.60000000000001
1,302.4,310.9,1469,39.6,86,8.5,58172.4,34.4
2,297.3,308.6,1584,29.4,141,11.300000000000011,46569.6,56.39999999999999
2,304.2,313.6,1424,43.7,151,9.400000000000034,62228.8,60.4
1,298.9,310.0,1719,27.3,58,11.100000000000023,46928.700000000004,23.200000000000003
1,297.4,309.2,1620,33.2,28,11.800000000000011,53784.00000000001,11.200000000000001
1,302.1,311.2,1454,46.8,0,9.099999999999966,68047.2,0.0
1,301.9,310.9,1486,40.3,6,9.0,59885.799999999996,2.4
1,297.2,308.5,1550,41.5,125,11.300000000000011,64325.0,50.0
2,298.0,308.9,1339,51.4,68,10.899999999999977,68824.59999999999,27.200000000000003
1,300.2,311.6,1999,21.0,19,11.400000000000034,41979.0,7.6
1,296.9,308.0,1546,31.1,11,11.100000000000023,48080.600000000006,4.3999999999999995
0,303.5,312.8,1404,55.8,84,9.300000000000011,78343.2,33.6
1,297.2,308.5,1494,39.6,181,11.300000000000011,59162.4,72.39999999999999
1,302.1,311.5,1987,20.1,21,9.399999999999977,39938.700000000004,8.4
1,300.6,310.8,1378,51.2,119,10.199999999999989,70553.6,47.599999999999994
1,302.6,312.4,1398,41.6,40,9.799999999999955,58156.8,16.0
0,298.7,309.7,1697,29.8,74,11.0,50570.6,29.599999999999998
1,296.7,308.0,1451,50.7,197,11.300000000000011,73565.7,78.8
2,300.5,311.9,1370,44.8,20,11.399999999999977,61375.99999999999,8.0
1,301.3,311.1,1560,35.3,55,9.800000000000011,55067.99999999999,22.0
2,300.9,311.0,1567,34.3,130,10.100000000000023,53748.1,52.0
1,303.7,312.7,1395,53.9,123,9.0,75190.5,49.2
0,301.0,310.9,1495,37.3,21,9.899999999999977,55763.49999999999,8.4
2,303.6,312.7,2174,17.6,37,9.099999999999966,38262.4,14.799999999999999
2,297.5,309.1,1540,38.5,176,11.600000000000023,59290.0,70.39999999999999
2,297.6,308.4,1569,38.3,93,10.799999999999955,60092.7,37.2
1,302.3,311.7,2170,18.2,91,9.399999999999977,39494.0,36.4
1,298.0,308.5,1713,25.3,124,10.5,43338.9,49.6
1,302.7,312.4,1477,46.3,251,9.699999999999989,68385.09999999999,100.4
0,297.1,308.0,1559,38.8,229,10.899999999999977,60489.2,91.60000000000001
1,300.3,309.2,1649,32.4,50,8.899999999999977,53427.6,20.0
1,300.2,309.7,1448,36.8,14,9.5,53286.399999999994,5.6000000000000005
1,298.3,309.4,1356,45.4,96,11.099999999999966,61562.4,38.4
1,301.8,310.7,1597,30.8,74,8.899999999999977,49187.6,29.599999999999998
1,299.0,310.2,1516,35.3,102,11.199999999999989,53514.799999999996,40.8
2,302.2,311.3,1510,37.1,10,9.100000000000023,56021.0,4.0
2,299.2,308.4,1330,51.2,56,9.199999999999989,68096.0,22.400000000000002
2,300.2,309.5,1500,45.7,89,9.300000000000011,68550.0,35.6
1,301.6,310.7,1683,29.7,131,9.099999999999966,49985.1,52.400000000000006
1,299.9,310.4,1419,45.7,178,10.5,64848.3,71.2
1,298.6,309.0,1469,46.0,4,10.399999999999977,67574.0,1.6
1,300.9,311.0,2235,15.8,156,10.100000000000023,35313.0,62.4
1,301.9,310.8,1400,58.2,79,8.900000000000034,81480.0,31.6
2,298.2,308.3,1448,43.3,199,10.100000000000023,62698.399999999994,79.60000000000001
1,298.2,308.9,1367,45.0,85,10.699999999999989,61515.0,34.0
2,298.6,309.1,1587,37.3,203,10.5,59195.1,81.2
1,300.5,309.9,1480,40.0,148,9.399999999999977,59200.0,59.199999999999996
1,300.8,310.2,1850,22.8,33,9.399999999999977,42180.0,13.200000000000001
1,298.1,308.6,1558,42.4,14,10.5,66059.2,5.6000000000000005
1,297.1,308.1,1446,36.6,227,11.0,52923.6,90.8
0,302.3,311.8,1475,42.8,38,9.5,63129.99999999999,15.2
1,301.1,310.6,1611,35.2,70,9.5,56707.200000000004,28.000000000000004
1,300.4,310.5,1578,32.8,26,10.100000000000023,51758.399999999994,10.4
2,297.3,308.5,1710,27.7,138,11.199999999999989,47367.0,55.2
1,302.5,310.5,1520,41.2,154,8.0,62624.00000000001,61.6
2,302.2,310.7,1601,33.0,166,8.5,52833.0,66.4
1,297.2,308.6,1636,31.3,192,11.400000000000034,51206.8,76.8
1,297.1,307.8,1636,30.3,90,10.699999999999989,49570.8,36.0
2,296.2,307.2,1552,34.8,8,11.0,54009.6,3.2
1,300.3,311.4,1318,52.7,13,11.099999999999966,69458.6,5.2
1,299.8,309.2,1400,42.6,210,9.399999999999977,59640.0,84.0
0,298.6,309.5,1420,50.4,82,10.899999999999977,71568.0,32.800000000000004
1,301.9,310.8,1906,21.7,62,8.900000000000034,41360.2,24.8
1,302.1,310.8,1565,35.3,6,8.699999999999989,55244.49999999999,2.4
1,302.4,311.1,1905,20.9,77,8.700000000000045,39814.5,30.8
2,298.6,309.8,1419,44.9,115,11.199999999999989,63713.1,46.0
1,296.9,307.8,1285,52.1,100,10.900000000000034,66948.5,40.0
1,298.3,308.5,1664,31.6,144,10.199999999999989,52582.4,57.599999999999994
1,296.8,307.9,1337,56.5,5,11.099999999999966,75540.5,2.0
0,302.2,311.2,1692,28.2,122,9.0,47714.4,48.8
1,298.7,309.9,1404,47.1,64,11.199999999999989,66128.40000000001,25.6
1,298.2,307.6,1511,31.0,209,9.400000000000034,46841.0,83.6
1,300.5,309.7,1580,42.8,196,9.199999999999989,67624.0,78.4
1,302.8,310.6,1404,43.2,203,7.800000000000011,60652.8,81.2
2,302.0,310.8,1609,35.2,4,8.800000000000011,56636.8,1.6
1,299.2,308.5,1457,44.7,195,9.300000000000011,65127.9,78.0
2,299.2,308.5,1742,28.9,150,9.300000000000011,50343.799999999996,60.0
0,302.9,311.0,1469,48.7,130,8.100000000000023,71540.3,52.0
1,297.8,308.5,1448,40.0,192,10.699999999999989,57920.0,76.8
1,297.2,308.6,1335,53.0,39,11.400000000000034,70755.0,15.6
0,297.5,308.6,1536,38.7,7,11.100000000000023,59443.200000000004,2.8000000000000003
2,303.6,312.5,1607,33.7,14,8.899999999999977,54155.9,5.6000000000000005
1,296.8,307.9,1698,30.8,48,11.099999999999966,52298.4,19.2
0,301.2,309.8,1709,27.0,151,8.600000000000023,46143.0,60.4
1,300.8,312.4,1365,44.5,129,11.599999999999966,60742.5,51.6
1,299.7,309.6,1553,36.8,174,9.900000000000034,57150.399999999994,69.6
2,298.1,307.4,1335,56.2,190,9.299999999999955,75027.0,76.0
1,297.2,307.9,1540,37.1,164,10.699999999999989,57134.0,65.60000000000001
2,300.3,310.4,1293,49.7,37,10.099999999999966,64262.100000000006,14.799999999999999
0,298.3,309.0,1470,38.4,10,10.699999999999989,56448.0,4.0
1,300.1,309.4,1453,47.6,28,9.299999999999955,69162.8,11.200000000000001
2,299.9,309.1,1345,56.8,10,9.200000000000045,76396.0,4.0
1,301.3,311.0,1539,36.9,206,9.699999999999989,56789.1,82.39999999999999
1,299.4,308.6,1492,40.5,181,9.200000000000045,60426.0,72.39999999999999
1,298.4,309.3,1395,47.6,24,10.900000000000034,66402.0,9.6
1,302.3,311.5,1387,47.3,2,9.199999999999989,65605.09999999999,0.8
1,300.9,310.9,1497,43.2,62,10.0,64670.4,24.8
1,298.8,308.5,1736,29.0,31,9.699999999999989,50344.0,12.4
1,297.8,307.6,1607,30.3,62,9.800000000000011,48692.1,24.8
2,300.0,309.5,1879,22.4,79,9.5,42089.6,31.6
1,297.5,308.9,1738,24.0,195,11.399999999999977,41712.0,78.0
0,297.6,308.8,1385,44.4,181,11.199999999999989,61494.0,72.39999999999999
2,302.2,311.1,1516,33.7,158,8.900000000000034,51089.200000000004,63.2
1,303.8,313.0,1633,32.9,207,9.199999999999989,53725.7,82.8
1,300.6,310.7,1397,53.7,80,10.099999999999966,75018.90000000001,32.0
1,297.3,308.3,1268,60.6,119,11.0,76840.8,47.599999999999994
1,297.6,308.6,1529,45.3,15,11.0,69263.7,6.0
2,300.2,311.0,2370,14.7,144,10.800000000000011,34839.0,57.599999999999994
1,302.4,310.1,1645,31.6,93,7.7000000000000455,51982.0,37.2
1,303.7,312.4,1702,31.2,144,8.699999999999989,53102.4,57.599999999999994
2,299.8,309.3,1640,31.1,211,9.5,51004.0,84.39999999999999
1,299.7,311.1,1574,36.4,135,11.400000000000034,57293.6,54.0
1,297.5,309.4,1650,34.6,142,11.899999999999977,57090.0,56.8
2,301.5,310.0,1417,44.6,49,8.5,63198.200000000004,19.6
2,298.1,308.1,1456,43.7,80,10.0,63627.200000000004,32.0
1,299.5,310.1,1585,35.2,50,10.600000000000023,55792.00000000001,20.0
1,301.0,310.6,1493,37.8,206,9.600000000000023,56435.399999999994,82.39999999999999
2,301.7,310.7,1659,29.9,73,9.0,49604.1,29.2
1,297.3,308.4,1469,46.7,65,11.099999999999966,68602.3,26.0
2,302.2,310.1,1421,45.4,9,7.900000000000034,64513.4,3.5999999999999996
2,303.6,312.8,1689,33.1,16,9.199999999999989,55905.9,6.4
0,298.5,309.6,1579,33.5,91,11.100000000000023,52896.5,36.4
1,300.6,310.2,1318,51.0,8,9.599999999999966,67218.0,3.2
2,302.1,310.6,1517,38.9,2,8.5,59011.299999999996,0.8
1,297.1,308.2,2267,15.7,181,11.099999999999966,35591.9,72.39999999999999
1,299.4,308.6,1415,56.4,175,9.200000000000045,79806.0,70.0
1,301.0,310.7,1300,57.2,174,9.699999999999989,74360.0,69.6
0,297.9,308.5,1383,44.6,184,10.600000000000023,61681.8,73.6
1,301.9,310.8,1427,47.7,92,8.900000000000034,68067.90000000001,36.8
1,299.4,309.3,1391,46.6,185,9.900000000000034,64820.6,74.0
0,299.3,310.4,1510,45.5,27,11.099999999999966,68705.0,10.8
1,300.0,311.5,1445,41.6,81,11.5,60112.0,32.4
1,298.2,309.1,1568,36.3,166,10.900000000000034,56918.399999999994,66.4
0,300.9,311.9,2140,16.5,43,11.0,35310.0,17.2
1,299.6,310.9,1472,40.9,137,11.299999999999955,60204.799999999996,54.800000000000004
2,298.5,309.6,1502,39.4,84,11.100000000000023,59178.799999999996,33.6
1,300.6,310.0,1455,40.4,172,9.399999999999977,58782.0,68.8
1,299.1,310.6,1577,37.1,44,11.5,58506.700000000004,17.599999999999998
1,302.5,310.3,1688,31.6,66,7.800000000000011,53340.8,26.400000000000002
1,298.9,310.0,1378,49.3,18,11.100000000000023,67935.4,7.199999999999999
2,298.5,309.3,1761,27.2,49,10.800000000000011,47899.2,19.6
1,297.5,308.2,1489,40.7,141,10.699999999999989,60602.3,56.39999999999999
2,297.7,309.0,1531,42.4,38,11.300000000000011,64914.4,15.2
0,297.4,308.2,1359,46.9,199,10.800000000000011,63737.1,79.60000000000001
1,301.7,310.6,1660,28.7,66,8.900000000000034,47642.0,26.400000000000002
1,301.0,311.9,1889,23.5,198,10.899999999999977,44391.5,79.2
1,302.3,310.1,1353,50.9,36,7.800000000000011,68867.7,14.399999999999999
1,298.3,309.1,1616,31.1,195,10.800000000000011,50257.600000000006,78.0
2,299.2,309.1,1503,34.7,6,9.900000000000034,52154.100000000006,2.4
2,297.5,308.0,1560,39.0,141,10.5,60840.0,56.39999999999999
1,299.6,309.2,1422,39.8,219,9.599999999999966,56595.6,87.6
2,300.5,311.4,1743,27.6,46,10.899999999999977,48106.8,18.4
2,297.2,307.9,1632,37.5,156,10.699999999999989,61200.0,62.4
1,300.1,309.3,1340,56.0,130,9.199999999999989,75040.0,52.0
2,298.0,308.5,1682,33.0,58,10.5,55506.0,23.200000000000003
0,297.6,309.6,1419,48.2,215,12.0,68395.8,86.0
1,300.7,310.9,1650,29.4,102,10.199999999999989,48510.0,40.8
1,300.8,311.9,1498,39.3,23,11.099999999999966,58871.399999999994,9.2
1,303.0,311.2,1382,50.5,203,8.199999999999989,69791.0,81.2
2,301.9,310.7,1511,37.6,70,8.800000000000011,56813.6,28.000000000000004
0,297.9,307.7,1464,43.2,97,9.800000000000011,63244.8,38.800000000000004
2,301.4,310.6,1459,46.9,27,9.200000000000045,68427.09999999999,10.8
1,298.4,308.3,1422,42.7,186,9.900000000000034,60719.4,74.4
2,300.0,309.3,1413,40.7,117,9.300000000000011,57509.100000000006,46.800000000000004
2,300.5,309.5,1320,49.9,59,9.0,65868.0,23.599999999999998
2,300.3,311.3,1377,53.8,125,11.0,74082.59999999999,50.0
1,300.6,310.0,1438,53.8,103,9.399999999999977,77364.4,41.199999999999996
1,297.9,307.8,1499,37.5,78,9.900000000000034,56212.5,31.2
1,298.8,309.6,1442,50.0,104,10.800000000000011,72100.0,41.6
1,295.6,306.0,1569,40.4,174,10.399999999999977,63387.6,69.6
2,297.7,309.2,1732,28.8,152,11.5,49881.6,60.8
1,300.3,311.5,1695,25.6,43,11.199999999999989,43392.0,17.2
2,300.2,311.6,1510,47.5,146,11.400000000000034,71725.0,58.4
1,298.8,310.0,1412,46.3,107,11.199999999999989,65375.6,42.8
1,298.6,309.4,1315,55.5,28,10.799999999999955,72982.5,11.200000000000001
2,297.7,307.3,1365,49.2,36,9.600000000000023,67158.0,14.399999999999999
1,297.4,308.2,1639,33.8,39,10.800000000000011,55398.2,15.6
2,302.5,311.5,1481,41.1,215,9.0,60869.1,86.0
1,300.0,309.6,1452,46.0,51,9.600000000000023,66792.0,20.4
2,296.6,307.5,1734,27.0,50,10.899999999999977,46818.0,20.0
2,302.6,312.3,1454,54.8,253,9.699999999999989,79679.2,101.2
1,298.2,308.8,1302,60.4,34,10.600000000000023,78640.8,13.600000000000001
1,295.8,306.5,1568,35.1,111,10.699999999999989,55036.8,44.4
1,297.4,308.4,1369,50.6,220,11.0,69271.40000000001,88.0
0,301.2,310.6,1352,52.0,69,9.400000000000034,70304.0,27.6
1,300.8,311.8,1928,21.8,209,11.0,42030.4,83.6
2,300.8,310.7,1924,22.4,36,9.899999999999977,43097.6,14.399999999999999
0,301.7,310.2,1620,30.8,42,8.5,49896.0,16.8
1,302.0,311.0,1420,45.9,144,9.0,65178.0,57.599999999999994
1,300.4,311.7,1513,40.0,51,11.300000000000011,60520.0,20.4
0,300.6,311.7,1535,33.3,92,11.099999999999966,51115.49999999999,36.8
2,297.2,308.3,1326,57.2,100,11.100000000000023,75847.2,40.0
1,299.0,308.5,1559,38.1,194,9.5,59397.9,77.60000000000001
2,302.4,311.8,1557,31.5,49,9.400000000000034,49045.5,19.6
2,297.1,308.0,1690,25.6,159,10.899999999999977,43264.0,63.6
1,299.3,308.5,1589,32.7,74,9.199999999999989,51960.3,29.599999999999998
1,298.8,308.9,1527,32.4,189,10.099999999999966,49474.799999999996,75.6
2,297.5,308.5,1484,44.7,40,11.0,66334.8,16.0
1,298.3,308.1,1840,21.5,88,9.800000000000011,39560.0,35.199999999999996
2,301.1,310.0,1433,48.1,14,8.899999999999977,68927.3,5.6000000000000005
1,302.1,311.2,1460,46.9,198,9.099999999999966,68474.0,79.2
0,300.8,309.9,2041,19.2,194,9.099999999999966,39187.2,77.60000000000001
0,300.8,311.9,1431,48.5,25,11.099999999999966,69403.5,10.0
1,300.7,310.4,1366,52.6,205,9.699999999999989,71851.6,82.0
1,302.0,311.2,1434,44.9,15,9.199999999999989,64386.6,6.0
2,299.8,310.0,1632,33.7,172,10.199999999999989,54998.4,68.8
1,299.8,311.3,1727,30.0,24,11.5,51810.0,9.6
2,301.1,311.3,1836,22.8,31,10.199999999999989,41860.8,12.4
1,297.5,308.9,1390,47.4,187,11.399999999999977,65886.0,74.8
2,300.4,309.4,1362,42.1,182,9.0,57340.200000000004,72.8
2,301.7,311.0,1311,46.8,136,9.300000000000011,61354.799999999996,54.400000000000006
1,298.2,308.3,1402,51.0,141,10.100000000000023,71502.0,56.39999999999999
1,299.4,308.5,1845,22.9,76,9.100000000000023,42250.5,30.4
2,300.8,310.4,1518,36.0,59,9.599999999999966,54648.0,23.599999999999998
2,296.9,307.9,1385,44.8,144,11.0,62047.99999999999,57.599999999999994
1,300.3,309.9,1393,56.1,12,9.599999999999966,78147.3,4.8
1,298.1,309.0,1437,36.2,95,10.899999999999977,52019.4,38.0
1,300.2,311.4,1495,43.6,95,11.199999999999989,65182.0,38.0
1,298.9,309.9,1590,31.3,98,11.0,49767.0,39.2
1,301.8,310.7,1644,33.4,68,8.899999999999977,54909.6,27.200000000000003
2,300.3,309.6,1419,42.5,137,9.300000000000011,60307.5,54.800000000000004
1,298.2,308.3,2051,19.2,90,10.100000000000023,39379.2,36.0
1,297.5,309.6,1312,50.7,0,12.100000000000023,66518.40000000001,0.0
1,300.0,309.2,1566,34.4,18,9.199999999999989,53870.399999999994,7.199999999999999
1,303.6,312.6,1502,39.5,103,9.0,59329.0,41.199999999999996
2,300.5,309.4,1655,32.1,37,8.899999999999977,53125.5,14.799999999999999
0,302.5,312.0,1357,42.0,179,9.5,56994.0,71.6
2,302.4,311.4,1675,29.6,128,9.0,49580.0,51.2
1,297.4,308.5,1692,34.3,83,11.100000000000023,58035.6,33.2
2,299.8,309.3,1663,35.2,208,9.5,58537.600000000006,83.2
1,299.0,308.6,1329,60.5,120,9.600000000000023,80404.5,48.0
2,301.9,310.7,1472,47.0,73,8.800000000000011,69184.0,29.2
1,300.1,309.1,1551,33.7,214,9.0,52268.700000000004,85.6
1,298.2,308.9,1336,45.0,66,10.699999999999989,60120.0,26.400000000000002
2,298.6,309.2,1311,46.6,44,10.599999999999966,61092.6,17.599999999999998
2,299.6,309.3,1553,32.4,112,9.699999999999989,50317.2,44.800000000000004
2,298.1,308.9,1417,39.2,65,10.799999999999955,55546.4,26.0
1,298.6,309.0,1456,47.7,0,10.399999999999977,69451.2,0.0
2,299.5,310.1,1359,61.1,67,10.600000000000023,83034.90000000001,26.8
1,301.0,311.6,1461,40.6,154,10.600000000000023,59316.6,61.6
1,300.4,309.9,1376,43.5,74,9.5,59856.0,29.599999999999998
2,302.2,311.4,1432,45.3,33,9.199999999999989,64869.6,13.200000000000001
2,301.4,310.6,1459,35.0,87,9.200000000000045,51065.0,34.8
1,299.4,309.3,1366,48.4,116,9.900000000000034,66114.4,46.400000000000006
1,298.7,309.8,1546,40.9,109,11.100000000000023,63231.399999999994,43.6
2,298.8,309.7,1480,38.1,157,10.899999999999977,56388.0,62.8
1,298.3,308.1,1505,46.1,80,9.800000000000011,69380.5,32.0
2,302.5,311.4,1629,31.7,225,8.899999999999977,51639.299999999996,90.0
1,298.0,308.9,1406,40.9,77,10.899999999999977,57505.4,30.8
1,297.8,309.2,1400,56.9,34,11.399999999999977,79660.0,13.600000000000001
1,297.4,308.5,1389,39.2,54,11.100000000000023,54448.8,21.6
2,302.0,311.3,1725,27.7,23,9.300000000000011,47782.5,9.2
1,299.2,308.4,1436,41.8,28,9.199999999999989,60024.799999999996,11.200000000000001
1,298.2,307.6,1369,54.5,82,9.400000000000034,74610.5,32.800000000000004
2,298.3,309.6,1681,27.1,194,11.300000000000011,45555.100000000006,77.60000000000001
1,300.7,311.1,1427,50.3,137,10.400000000000034,71778.09999999999,54.800000000000004
1,301.4,310.8,1698,29.6,99,9.400000000000034,50260.8,39.6
1,296.9,307.7,1653,35.9,177,10.800000000000011,59342.7,70.8
2,295.6,306.1,1651,28.1,110,10.5,46393.100000000006,44.0
2,298.5,308.6,1897,20.2,50,10.100000000000023,38319.4,20.0
0,297.9,307.9,1406,58.5,93,10.0,82251.0,37.2
1,301.2,310.6,1811,24.0,84,9.400000000000034,43464.0,33.6
1,301.0,312.2,1510,39.9,61,11.199999999999989,60249.0,24.4
2,298.2,308.8,1645,28.2,58,10.600000000000023,46389.0,23.200000000000003
2,297.9,308.7,1751,26.6,111,10.800000000000011,46576.600000000006,44.4
2,300.0,311.4,1533,42.6,180,11.399999999999977,65305.8,72.0
1,301.6,309.8,1588,33.9,89,8.199999999999989,53833.2,35.6
2,302.3,310.9,1627,32.3,0,8.599999999999966,52552.1,0.0
2,300.3,311.7,1551,36.4,84,11.399999999999977,56456.399999999994,33.6
2,295.6,306.1,1418,46.2,24,10.5,65511.600000000006,9.6
1,300.6,311.8,1652,27.2,52,11.199999999999989,44934.4,20.8
1,300.0,309.6,1431,47.7,39,9.600000000000023,68258.7,15.6
